
Name=Hydra Race
Author=Ransom
Description=1st ever hydra race
MinLevel=5
JoinCost=10000

; The location of the waiting checkpoint.
; WaitLocation=waitx,waity,waitz
WaitLocation=436.650116,2522.341064,17.788849

RunTime=600
WinBaseXP=165000
WinBaseCash=100000

; Vehicle Model to race with. Other models: 0=No vehicle, -1=Any vehicle
Vehicle=520

; Checkpoints
; Type=0 is a normal checkpoint
; Type=1 is an air checkpoint
; Format: CP#=x,y,z,type,size
CP=-253.265869,2234.219238,81.353775,1,11.85
CP=-648.480530,2128.986816,48.442509,1,11.85
CP=-778.749817,2119.629150,51.232090,1,11.85
CP=-1032.380249,2185.353271,70.088287,1,11.85
CP=-1542.641846,2285.613037,85.701012,1,11.85
CP=-1643.986816,2469.336914,112.593636,1,11.85
CP=-1630.403931,1832.706909,15.943174,1,11.85
CP=-1504.111572,1012.716370,21.007994,1,11.85
CP=-1531.127197,693.482727,18.615358,1,11.85
CP=-1560.961548,532.039246,17.696936,1,11.85
CP=-1621.389038,351.716675,39.554520,1,11.85
CP=-1741.473633,-989.392822,92.530426,1,11.85
CP=-1848.708740,-1253.475708,89.717575,1,11.85
CP=-1994.041626,-1566.293579,93.883759,1,11.85
CP=-1947.755493,-1756.438599,110.473770,1,11.85
CP=-1543.936401,-2445.948486,86.316444,1,11.85
CP=-1122.405151,-2839.133057,35.873604,1,11.85
CP=-1115.161133,-3192.714111,5.964862,1,11.85

SPAWN=436.650116,2522.341064,17.788849,92.0
SPAWN=437.269745,2504.496338,17.711937,92.0
SPAWN=437.592468,2486.112305,17.783958,85.0
SPAWN=379.144043,2547.961182,17.458637,164.0
SPAWN=220.954910,2559.636719,17.286762,164.0
SPAWN=355.468079,2550.073730,17.481888,164.0
SPAWN=198.018936,2560.062988,17.286762,164.0
SPAWN=114.210556,2560.433594,17.286762,164.0
SPAWN=167.384033,2559.903564,17.286762,164.0
SPAWN=140.831818,2559.948730,17.286762,164.0
SPAWN=90.552841,2560.544189,17.286762,164.0
SPAWN=66.372826,2559.550537,17.294441,185.0
SPAWN=42.300835,2559.097656,17.294437,192.0
SPAWN=-36.791630,2557.897949,17.625095,192.0
SPAWN=18.201584,2558.619141,17.294437,192.0
SPAWN=-5.032639,2558.386230,17.286762,192.0
SPAWN=386.927307,2575.253418,17.333057,157.0
SPAWN=372.603546,2575.642578,17.444176,157.0
SPAWN=351.604614,2584.229492,17.405373,157.0
SPAWN=397.871246,2563.721924,17.462490,146.0
SPAWN=406.184906,2442.290771,30.520603,101.0
SPAWN=405.913574,2454.006836,30.529285,89.0
SPAWN=406.710266,2466.110352,30.503788,89.0
SPAWN=324.119171,2543.916016,17.727852,181.0
SPAWN=289.985596,2544.618164,17.740257,181.0
SPAWN=268.574158,2546.790527,17.732075,179.0
SPAWN=245.722626,2547.375488,17.724262,179.0
SPAWN=308.013519,2544.291504,17.735718,179.0
SPAWN=496.507141,2386.405273,30.547455,67.0
SPAWN=492.247284,2373.584473,30.652771,67.0
SPAWN=398.643188,2358.260742,26.208637,78.0
SPAWN=386.875366,2343.447021,26.424477,89.0
