Name=Roof Top Rumble!
MinLevel=2
JoinCost=1000

WaitLocation=2078.9597,2719.5146,10.8203

RunTime=240
WinBaseXP=180000
WinBaseCash=150000

Vehicle=0

CP=2066.6201,2719.1453,15.5938,,2.5
CP=2046.0811,2719.3015,16.3054,,2.5
CP=2027.3652,2717.0488,16.2312,,2.5
CP=2012.7249,2717.5925,16.6334,,2.5
CP=1992.5212,2719.0981,19.4453,,2.5
CP=1962.2012,2717.0034,16.4493,,2.5
CP=1944.2433,2716.9167,16.6782,,2.5
CP=1924.7866,2719.1545,19.5299,,2.5
CP=1897.2450,2723.7290,13.6413,,2.5
CP=1852.5930,2778.7346,10.8359,,2.5
CP=1813.0223,2779.7195,10.8359,,2.5
CP=1781.6782,2786.0317,10.8359,,2.5
CP=1766.8295,2745.1460,10.8359,,2.5
CP=1735.9053,2726.6448,10.8359,,2.5
CP=1720.6862,2775.9419,10.8359,,2.5
CP=1693.6719,2801.7083,10.8203,,2.5
CP=1672.6733,2799.6943,16.1259,,2.5
CP=1662.1097,2799.0969,18.8196,,2.5
CP=1648.5862,2798.9468,19.4934,,2.5
CP=1630.3647,2798.4741,16.3125,,2.5
CP=1611.3567,2798.7354,19.1491,,2.5
CP=1596.0770,2794.8235,23.6125,,2.5
CP=1567.5448,2787.5535,19.3681,,2.5
CP=1567.8853,2770.8250,16.7614,,2.5
CP=1567.3523,2750.6609,19.5586,,2.5
CP=1565.9991,2733.1597,10.6719,,2.5
CP=1543.2913,2749.9146,10.6719,,2.5
CP=1542.2936,2771.5007,10.8485,,2.5
CP=1504.6447,2773.5422,10.8753,,2.5
CP=1487.8560,2746.8635,10.6719,,2.5
CP=1465.5007,2768.0342,10.6719,,2.5
CP=1455.7577,2771.6768,14.6943,,2.5
CP=1437.8862,2755.1833,24.0357,,2.5
CP=1434.8795,2773.1399,27.9587,,2.5
CP=1418.4500,2773.8940,26.5093,,2.5
CP=1399.1810,2772.8213,10.8203,,2.5
CP=1290.9204,2780.9595,10.8203,,2.5
CP=1228.8323,2788.5710,10.8125,,2.5
CP=1171.4774,2812.7195,10.8203,,2.5
CP=1116.1416,2834.2175,10.7614,,2.5
CP=1070.7227,2857.7117,21.7119,,2.5
CP=1055.0372,2897.0730,44.2888,,2.5
CP=1041.9711,2904.5322,46.3050,,2.5
CP=1048.5122,2904.8501,47.8231,,2.5
CP=1049.7263,2912.6882,51.6622,,2.5
